
x: 0,0000: |	|y: 0.0|	|v: 0.0|	|deltaY: 0.0|	|deltaV: 0.0
x: 0,5978: |	|y: 0.3574010737454524|	|v: 1.195653943685015|	|deltaY: 5.0434997057036135E-6|	|deltaV: 1.7697719716380789E-6

x: 0,6087: |	|y: 0.37051545934826313|	|v: 1.2173930966065376|	|deltaY: 5.062372837760787E-6|	|deltaV: 1.7922587114416189E-6

x: 0,6196: |	|y: 0.3838661400938487|	|v: 1.2391322493516832|	|deltaY: 5.08149271433167E-6|	|deltaV: 1.8145690743320841E-6

x: 0,6304: |	|y: 0.397453115980276|	|v: 1.2608714019256453|	|deltaY: 5.100857402629E-6|	|deltaV: 1.836708253932784E-6

x: 0,6413: |	|y: 0.4112763870056687|	|v: 1.282610554333466|	|deltaY: 5.120465025876264E-6|	|deltaV: 1.8586812919885176E-6

x: 0,6522: |	|y: 0.4253359531682052|	|v: 1.3043497065800427|	|deltaY: 5.140313762863613E-6|	|deltaV: 1.880493086137136E-6

x: 0,6630: |	|y: 0.43963181446611727|	|v: 1.326088858670132|	|deltaY: 5.1604018449502576E-6|	|deltaV: 1.9021483927961214E-6

x: 0,6739: |	|y: 0.4541639708976884|	|v: 1.3478280106083556|	|deltaY: 5.180727556064468E-6|	|deltaV: 1.923651833823925E-6

x: 0,6848: |	|y: 0.4689324224612524|	|v: 1.3695671623992038|	|deltaY: 5.201289229650463E-6|	|deltaV: 1.945007899406548E-6

x: 0,6957: |	|y: 0.483937169155192|	|v: 1.3913063140470419|	|deltaY: 5.222085248779429E-6|	|deltaV: 1.9662209549409226E-6

x: 0,7065: |	|y: 0.4991782109779376|	|v: 1.4130454655561122|	|deltaY: 5.243114043373964E-6|	|deltaV: 1.9872952425892265E-6

x: 0,7174: |	|y: 0.5146555479279655|	|v: 1.4347846169305403|	|deltaY: 5.264374090208079E-6|	|deltaV: 2.008234887940219E-6

x: 0,7283: |	|y: 0.5303691800037972|	|v: 1.4565237681743377|	|deltaY: 5.285863910575728E-6|	|deltaV: 2.029043902895822E-6

x: 0,7391: |	|y: 0.5463191072039978|	|v: 1.4782629192914063|	|deltaY: 5.30758206951365E-6|	|deltaV: 2.0497261887797436E-6

x: 0,7500: |	|y: 0.5625053295271749|	|v: 1.5000020702855417|	|deltaY: 5.329527174913196E-6|	|deltaV: 2.07028554166655E-6

x: 0,7609: |	|y: 0.5789278469719775|	|v: 1.521741221160437|	|deltaY: 5.351697875410899E-6|	|deltaV: 2.0907256543800656E-6

x: 0,7717: |	|y: 0.5955866595370949|	|v: 1.5434803719196866|	|deltaY: 5.374092860499502E-6|	|deltaV: 2.111050121378355E-6

x: 0,7826: |	|y: 0.6124817672212554|	|v: 1.565219522566788|	|deltaY: 5.396710858307507E-6|	|deltaV: 2.1312624400859903E-6

x: 0,7935: |	|y: 0.6296131700232255|	|v: 1.586958673105147|	|deltaY: 5.419550635710202E-6|	|deltaV: 2.151366016667211E-6

x: 0,8043: |	|y: 0.646980867941809|	|v: 1.608697823538079|	|deltaY: 5.4426109961092095E-6|	|deltaV: 2.171364166025924E-6

x: 0,8152: |	|y: 0.6645848609758457|	|v: 1.6304369738688131|	|deltaY: 5.465890779432492E-6|	|deltaV: 2.191260117356819E-6

x: 0,8261: |	|y: 0.6824251491242106|	|v: 1.652176124100494|	|deltaY: 5.4893888609131025E-6|	|deltaV: 2.21105701569968E-6

x: 0,8370: |	|y: 0.700501732385813|	|v: 1.6739152742361851|	|deltaY: 5.513104149423853E-6|	|deltaV: 2.230757924159832E-6

x: 0,8478: |	|y: 0.7188146107595957|	|v: 1.6956544242788716|	|deltaY: 5.537035588143446E-6|	|deltaV: 2.250365828126988E-6

x: 0,8587: |	|y: 0.737363784244534|	|v: 1.717393574231462|	|deltaY: 5.561182152002964E-6|	|deltaV: 2.269883635941383E-6

x: 0,8696: |	|y: 0.7561492528396349|	|v: 1.7391327240967913|	|deltaY: 5.585542848463021E-6|	|deltaV: 2.2893141826685337E-6

x: 0,8804: |	|y: 0.7751710165439363|	|v: 1.7608718738776228|	|deltaY: 5.610116715071278E-6|	|deltaV: 2.308660231431503E-6

x: 0,8913: |	|y: 0.7944290753565064|	|v: 1.7826110235766508|	|deltaY: 5.634902820128573E-6|	|deltaV: 2.327924476741572E-6

